
2025/02/16 (12:28:27) | ===> btop++ v.1.4.0
2025/02/16 (12:28:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (12:30:46) | ===> btop++ v.1.4.0
2025/02/16 (12:30:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (12:35:41) | ===> btop++ v.1.4.0
2025/02/16 (12:35:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (14:38:29) | ===> btop++ v.1.4.0
2025/02/16 (14:38:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (19:13:35) | ===> btop++ v.1.4.0
2025/02/16 (19:13:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (14:32:31) | ===> btop++ v.1.4.0
2025/02/22 (14:32:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (20:10:54) | ===> btop++ v.1.4.0
2025/02/26 (20:10:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (13:36:21) | ===> btop++ v.1.4.0
2025/03/02 (13:36:21) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/03/02 (13:36:25) | ===> btop++ v.1.4.0
2025/03/02 (13:36:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (15:29:19) | ===> btop++ v.1.4.0
2025/03/14 (15:29:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (23:02:01) | ===> btop++ v.1.4.0
2025/03/20 (23:02:01) | WARNING: Intel GPU: Failed to initialize PMU
